1,1041.03,1.7,0,674.78,,1041.03,-0.664820247,674.78
1,1056.98,1.7,0.2,853.32,,1056.98,-0.640724997,853.32
1,1079.3,1.7,0.39,1014.6,,1079.3,-0.609624504,1014.6
1,1095,1.7,0.6,1089.7,,1095,-0.473616028,1089.7
1,1095.17,1.7,0.8,1090.4,,1095.17,-0.274305696,1090.4
1,1095.32,1.7,1,1090.56,,1095.32,-0.074463334,1090.56
1,1095.42,1.7,1.2,1090.67,,1095.42,0.125428289,1090.67
1,1095.49,1.7,1.4,1090.76,,1095.49,0.325339618,1090.76
1,1095.57,1.7,1.6,1090.85,,1095.57,0.525250946,1090.85
1,1095.68,1.7,1.8,1090.97,,1095.68,0.725132717,1090.97
1,1095.77,1.7,2,1091.07,,1095.77,0.925034193,1091.07
1,,,-0.48,205.65,,,-0.682614606,205.65
1,,,-0.8,-93.482,,,-0.707897794,-93.482
1,,,-0.69,2.375,,,-0.692339945,2.375
1,,,-0.59,98.194,,,-0.686744657,98.194
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2,2.0007,2.7,0,718.54,,-0.70793435,718.54,
2,2.0058,2.7,0.2,911.12,,-0.697671869,911.12,
2,2.0117,2.7,0.4,1102.5,,-0.6862271,1102.5,
2,2.0191,2.7,0.6,1302.09,,-0.682871152,1302.09,
2,2.0277,2.7,0.8,1490.26,,-0.668263762,1490.26,
2,2.0393,2.7,1,1683.8,,-0.658947112,1683.8,
2,2.0536,2.7,1.2,1861.13,,-0.633659721,1861.13,
2,2.0723,2.7,1.4,2022.1,,-0.592253804,2022.1,
2,2.0796,2.7,1.6,2070.5,,-0.43993942,2070.5,
2,2.0798,2.7,1.8,2070.8,,-0.240234992,2070.8,
2,2.0798,2.7,2,2070.9,,-0.040333516,2070.9,
2,2.0801,2.7,2.2,2071.1,,0.159469436,2071.1,
2,2.0801,2.7,2.4,2071.2,,0.359370912,2071.2,
2,2.0802,2.7,2.6,2071.3,,0.559272388,2071.3,
2,,,-0.5,213.72,,-0.710565493,213.72,
2,,,-0.59,123.504,,-0.711681081,123.504,
2,,,-0.69,26.061,,-0.71567634,26.061,
2,,,-0.8,-71.277,,-0.729775049,-71.277,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
3,2.9842,3.7,0,738.22,,-0.727323873,738.22,
3,2.9872,3.7,0.2,933.13,,-0.719357001,933.13,
3,2.9904,3.7,0.4,1127.59,,-0.710946772,1127.59,
3,2.9941,3.7,0.6,1331.51,,-0.711856912,1331.51,
3,2.9901,3.7,0.8,1525.44,,-0.702924506,1525.44,
3,3.0027,3.7,1,1728.24,,-0.702731178,1728.24,
3,3.0078,3.7,1.2,1920.6,,-0.692251944,1920.6,
3,3.0138,3.7,1.4,2120.4,,-0.689102896,2120.4,
3,3.0207,3.7,1.6,2307,,-0.67294868,2307,
3,3.0293,3.7,1.8,2506,,-0.66901144,2506,
3,3.0396,3.7,2,2690,,-0.6502956,2690,
3,3.0533,3.7,2.2,2874.7,,-0.632269428,2874.7,
3,3.0681,3.7,2.4,3023.3,,-0.578676092,3023.3,
3,3.0723,3.7,2.6,3059.4,,-0.414243256,3059.4,
3,2.9751,3.6,2.8,2962.6,,-0.118872024,2962.6,
3,2.9753,3.6,3,2962.9,,0.080832404,2962.9,
3,2.9755,3.6,3.2,2963,,0.28073388,2963,
3,,,-0.51,222.47,,-0.729186343,222.47,
3,,,-0.6,138.178,,-0.736138493,138.178,
3,,,-0.7,40.115,,-0.739522903,40.115,
3,,,-0.8,-57.753,,-0.743099434,-57.753,
