Vgs,Vds,Id,,
0.3,0.299999901,0.001,,
0.6,0.299999901,0.001,,
1,0.299999901,0.001,,
1.2,0.299999604,0.004,,
1.4,0.299995847,0.042,,
1.6,0.299969147,0.312,,
1.8,0.29979303,2.093,,
2,0.298966532,10.451,,
2.2,0.29643542,36.047,,
2.5,0.288340827,117.904,,
2.7,0.279494792,207.36,,
3,0.263992277,364.13,,
3.3,0.248926842,516.48,,
3.6,0.235491066,652.35,,
4,0.220806346,800.85,,
,,,,
0.3,0.599999901,0.001,,
0.6,0.599999901,0.001,,
1,0.599999901,0.001,,
1.2,0.599999604,0.004,,
1.4,0.599995748,0.043,,
1.6,0.599968653,0.317,,
1.8,0.599789173,2.132,,
2,0.598961588,10.501,,
2.2,0.596312108,37.294,,
2.5,0.587664242,124.746,,
2.7,0.577845357,224.04,,
3,0.558131244,423.4,,
3.3,0.534055226,666.87,,
3.6,0.506025706,950.32,,
4,0.469777687,1316.88,,
6,0.363531517,2391.3,,
8,0.313732024,2894.9,,
10,0.283779151,3197.8,,
,,,,
0.3,1.499999901,0.001,,
0.6,1.499999901,0.001,,
1,1.499999901,0.001,,
1.2,1.499999506,0.005,,
1.4,1.499995451,0.046,,
1.6,1.499965884,0.345,,
1.8,1.499770384,2.322,,
2,1.498871502,11.412,,
2.1,1.497694944,23.31,,
2.2,1.496006251,40.387,,
2.3,1.493629897,64.418,,
2.4,1.490519407,95.873,,
2.5,1.486661528,134.886,,
2.7,1.47604858,242.21,,
3,1.454553513,459.58,,
3.3,1.427661193,731.53,,
3.6,1.394264086,1069.26,,
4,1.342502675,1592.7,,
4.5,1.268287982,2343.2,,
5,1.186251326,3172.8,,
5.5,1.100447077,4040.5,,
6,1.024007426,4813.5,,
7,0.909713831,5969.3,,
8,0.831810652,6757.1,,
9,0.775949386,7322,,
10,0.732735767,7759,,
